Date,Open,High,Low,Close,Adj Close,Volume
2019-11-26,172.160004,174.020004,170.860001,171.740005,165.530289,42582224
2019-11-27,172.860001,175.046997,171.619995,174.419998,168.113373,35393262
2019-11-28,175.800003,176.190002,173.759995,174.220001,167.920609,30474291
2019-11-29,174.139999,174.220001,171.419998,171.539993,165.337509,28532134
2019-12-02,171.500000,172.279999,169.039993,169.179993,163.062836,47771495
2019-12-03,169.000000,170.479996,164.600006,166.339996,160.325531,45455357
2019-12-04,165.000000,169.160004,164.940002,167.160004,161.115891,29835743
2019-12-05,166.860001,168.679993,165.539993,167.160004,161.115891,49974529
2019-12-06,168.220001,170.220001,167.500000,169.399994,163.274887,20971015
2019-12-09,169.500000,172.100006,169.059998,171.679993,165.472443,36216265
2019-12-10,171.679993,171.679993,167.160004,170.139999,163.988129,51972517
2019-12-11,169.500000,170.520004,168.179993,168.679993,162.580917,56576014
2019-12-12,170.000000,172.720001,169.619995,171.860001,165.645950,44604235
2019-12-13,185.000000,187.679993,170.740005,182.479996,175.881943,183046871
2019-12-16,183.779999,192.990005,183.320007,192.460007,185.501099,109295227
2019-12-17,189.839996,191.740005,185.360001,187.360001,180.585495,52622212
2019-12-18,185.199997,187.279999,184.460007,185.119995,178.426483,41111821
2019-12-19,185.679993,185.710007,182.119995,183.380005,176.749405,44095125
2019-12-20,183.320007,183.723007,178.348999,178.419998,171.968750,90725761
2019-12-23,177.880005,180.649994,177.240005,179.460007,172.971146,87793327
2019-12-24,180.000000,180.559998,179.380005,180.000000,173.491623,26428457
2019-12-27,182.240005,182.350006,179.360001,181.500000,174.937378,18054510
2019-12-30,181.360001,182.160004,180.139999,180.240005,173.722946,36499610
2019-12-31,178.360001,180.380005,177.500000,179.639999,173.144638,13247081
2020-01-02,180.080002,186.199997,179.259995,185.199997,178.503601,34370855
2020-01-03,184.160004,184.949997,181.300003,183.300003,176.672302,27868540
2020-01-06,181.919998,182.429993,178.639999,180.979996,174.436188,26746306
2020-01-07,180.559998,183.449997,175.000000,183.139999,176.518082,25508436
2020-01-08,181.119995,183.039993,180.220001,182.039993,175.457855,28272528
2020-01-09,184.220001,184.800003,181.869995,182.860001,176.248215,26927681
2020-01-10,182.139999,182.589996,180.399994,181.000000,174.455460,18841487
2020-01-13,181.199997,182.589996,179.759995,181.679993,175.110870,29073687
2020-01-14,181.880005,182.100006,179.199997,181.000000,174.455460,29601850
2020-01-15,180.800003,181.707993,177.520004,178.500000,172.045853,48507487
2020-01-16,178.000000,179.039993,174.440002,176.800003,170.407333,40833263
2020-01-17,178.020004,178.520004,175.000000,175.240005,168.903732,39232128
2020-01-20,175.639999,175.990005,174.710007,175.000000,168.672409,40252357
2020-01-21,173.199997,175.240005,172.500000,174.399994,168.094101,41543663
2020-01-22,175.360001,175.875000,173.697998,174.759995,168.441086,37906829
2020-01-23,174.919998,175.630005,171.059998,171.500000,165.298965,36096342
2020-01-24,173.520004,175.990005,173.380005,173.440002,167.168823,30346248
2020-01-27,172.000000,172.419998,169.720001,170.679993,164.508606,22028619
2020-01-28,171.000000,172.320007,169.199997,172.020004,165.800156,23574278
2020-01-29,173.199997,173.600006,171.000000,172.020004,165.800156,24723987
2020-01-30,169.839996,172.000000,169.279999,171.500000,165.298965,31571302
2020-01-31,172.679993,172.899994,167.839996,168.000000,161.925507,30957886
2020-02-03,168.759995,171.059998,168.139999,169.679993,163.544754,20908923
2020-02-04,171.460007,172.839996,170.061996,172.000000,165.780884,25943981
2020-02-05,171.479996,173.539993,170.639999,172.960007,166.706177,45799552
2020-02-06,175.399994,177.960007,174.975006,176.720001,170.330215,44900146
2020-02-07,176.160004,177.160004,174.440002,177.160004,170.754318,28415827
2020-02-10,175.720001,178.460007,175.619995,176.899994,170.503708,24270086
2020-02-11,179.179993,179.919998,177.580002,179.020004,172.547058,53077341
2020-02-12,179.660004,181.300003,174.479996,179.339996,172.855484,37065004
2020-02-13,173.039993,181.000000,172.500000,176.320007,169.944687,66320954
