Date,Open,High,Low,Close,Adj Close,Volume
2015-05-14,260.299988,263.049988,258.649994,262.100006,233.465820,24223492
2015-05-15,263.000000,264.950012,261.299988,261.649994,233.064941,37139540
2015-05-18,261.000000,263.799988,258.799988,261.149994,232.619568,23762274
2015-05-19,261.549988,264.549988,261.535004,262.700012,234.000244,34247039
2015-05-20,262.000000,272.153015,262.000000,271.549988,241.883347,89154839
2015-05-21,270.950012,273.399994,270.149994,271.049988,241.437973,41727032
2015-05-22,271.700012,272.299988,269.950012,270.149994,240.636307,29614695
2015-05-26,269.250000,270.399994,263.450012,264.899994,235.959885,42622520
2015-05-27,265.649994,270.549988,264.000000,269.250000,239.834656,36448458
2015-05-28,268.649994,271.950012,267.200012,271.100006,241.482574,36484250
2015-05-29,270.149994,272.000000,267.950012,270.000000,240.502731,39224439
2015-06-01,270.000000,271.649994,265.799988,266.399994,237.296021,29111023
2015-06-02,267.250000,269.049988,262.750000,267.649994,238.409470,33553754
2015-06-03,267.250000,273.350006,267.049988,271.200012,241.571640,31894286
2015-06-04,270.649994,270.950012,265.589996,266.399994,237.296021,38019254
2015-06-05,265.799988,267.500000,263.200012,265.450012,236.449783,40717019
2015-06-08,265.500000,266.167999,261.950012,262.000000,233.376694,31704736
2015-06-09,263.350006,265.399994,260.450012,261.549988,232.975845,35781703
2015-06-10,261.700012,268.000000,258.850006,267.149994,237.964066,46584538
2015-06-11,267.049988,271.350006,266.000000,268.750000,239.389297,33185579
2015-06-12,268.149994,270.600006,266.500000,269.700012,240.235489,31896396
2015-06-15,267.350006,268.604004,264.200012,264.950012,236.004425,39522320
2015-06-16,263.250000,264.600006,261.450012,263.649994,234.846451,28754554
2015-06-17,263.500000,264.500000,260.649994,261.899994,233.287643,35525683
2015-06-18,260.850006,267.500000,258.200012,261.549988,232.975845,30685643
2015-06-19,260.950012,266.500000,259.929993,265.750000,236.717026,68268596
2015-06-22,269.000000,272.950012,267.049988,272.450012,242.685043,40009875
2015-06-23,273.000000,274.065002,272.000000,272.450012,242.685043,29674041
2015-06-24,271.750000,276.618988,271.450012,274.450012,244.466537,51287874
2015-06-25,273.850006,276.600006,272.000000,272.899994,243.085876,40061655
2015-06-26,271.450012,276.161987,269.700012,272.350006,242.596024,31441420
2015-06-29,263.500000,269.100006,261.885010,264.250000,235.380905,54158099
2015-06-30,262.500000,265.299988,260.500000,260.500000,232.040558,48682385
2015-07-01,262.799988,267.450012,261.649994,266.549988,237.429596,37900544
2015-07-02,266.700012,267.600006,265.250000,266.399994,237.296021,15356017
2015-07-03,265.500000,266.122009,261.350006,262.950012,234.222916,20630344
